Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Volume Fraction,Laplacian
1,0.03125,0.140625,-0.921875,0,1,4352
1,0.03125,0.171875,-0.921875,0,1,4480
1,0.03125,0.203125,-0.921875,0,1,4608
1,0.03125,0.234375,-0.921875,0,1,4736
1,0.03125,0.265625,-0.921875,0,1,4864
1,0.03125,0.296875,-0.921875,0,1,4992
1,0.03125,0.328125,-0.921875,0,1,5120
2,0.03125,0.359375,-0.921875,0.0289745,0.855015,3991.29
2,0.03125,0.390625,-0.921875,0.033948,0.452578,4954.97
2,0.03125,0.421875,-0.921875,0.0181224,0.0633742,11602.3
0,0.03125,0.453125,-0.921875,0,0,0
0,0.03125,0.484375,-0.921875,0,0,0
0,0.03125,0.515625,-0.921875,0,0,0
0,0.03125,0.546875,-0.921875,0,0,0
0,0.03125,0.578125,-0.921875,0,0,0
0,0.03125,0.609375,-0.921875,0,0,0
0,0.03125,0.640625,-0.921875,0,0,0
0,0.03125,0.671875,-0.921875,0,0,0
0,0.03125,0.703125,-0.921875,0,0,0
0,0.03125,0.734375,-0.921875,0,0,0
0,0.03125,0.765625,-0.921875,0,0,0
0,0.03125,0.796875,-0.921875,0,0,0
0,0.03125,0.828125,-0.921875,0,0,0
0,0.03125,0.859375,-0.921875,0,0,0
0,0.03125,0.890625,-0.921875,0,0,0
0,0.03125,0.921875,-0.921875,0,0,0
0,0.03125,0.953125,-0.921875,0,0,0
0,0.03125,0.984375,-0.921875,0,0,0
0,0.03125,-0.984375,-0.890625,0,0,0
0,0.03125,-0.953125,-0.890625,0,0,0
0,0.03125,-0.921875,-0.890625,0,0,0
0,0.03125,-0.890625,-0.890625,0,0,0
0,0.03125,-0.859375,-0.890625,0,0,0
0,0.03125,-0.828125,-0.890625,0,0,0
0,0.03125,-0.796875,-0.890625,0,0,0
0,0.03125,-0.765625,-0.890625,0,0,0
0,0.03125,-0.734375,-0.890625,0,0,0
0,0.03125,-0.703125,-0.890625,0,0,0
0,0.03125,-0.671875,-0.890625,0,0,0
0,0.03125,-0.640625,-0.890625,0,0,0
0,0.03125,-0.609375,-0.890625,0,0,0
0,0.03125,-0.578125,-0.890625,0,0,0
0,0.03125,-0.546875,-0.890625,0,0,0
0,0.03125,-0.515625,-0.890625,0,0,0
2,0.03125,-0.484375,-0.890625,0.0174851,0.0655325,3771.42
2,0.03125,-0.453125,-0.890625,0.0350568,0.520787,1689.81
2,0.03125,-0.421875,-0.890625,0.0163473,0.946784,1590.62
1,0.03125,-0.390625,-0.890625,0,1,2048
1,0.03125,-0.359375,-0.890625,0,1,2176
1,0.03125,-0.328125,-0.890625,0,1,2304
1,0.03125,-0.296875,-0.890625,0,1,2432
1,0.03125,-0.265625,-0.890625,0,1,2560
1,0.03125,-0.234375,-0.890625,0,1,2688
1,0.03125,-0.203125,-0.890625,0,1,2816
1,0.03125,-0.171875,-0.890625,0,1,2944
1,0.03125,-0.140625,-0.890625,0,1,3072
1,0.03125,-0.109375,-0.890625,0,1,3200
1,0.03125,-0.078125,-0.890625,0,1,3328
1,0.03125,-0.046875,-0.890625,0,1,3456
1,0.03125,-0.015625,-0.890625,0,1,3584
1,0.03125,0.015625,-0.890625,0,1,3712
1,0.03125,0.046875,-0.890625,0,1,3840
1,0.03125,0.078125,-0.890625,0,1,3968
1,0.03125,0.109375,-0.890625,0,1,4096
1,0.03125,0.140625,-0.890625,0,1,4224
1,0.03125,0.171875,-0.890625,0,1,4352
1,0.03125,0.203125,-0.890625,0,1,4480
1,0.03125,0.234375,-0.890625,0,1,4608
1,0.03125,0.265625,-0.890625,0,1,4736
1,0.03125,0.296875,-0.890625,0,1,4864
1,0.03125,0.328125,-0.890625,0,1,4992
1,0.03125,0.359375,-0.890625,0,1,5120
1,0.03125,0.390625,-0.890625,0,1,5248
2,0.03125,0.421875,-0.890625,0.0163473,0.946784,4364.13
2,0.03125,0.453125,-0.890625,0.0350568,0.520785,4812.84
2,0.03125,0.484375,-0.890625,0.0174851,0.0655304,11142
